source,status,item
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"Success! Matched feature to API result.","40.547040006195 46.282984206217 Xanlar  (feature #150, WOEID: 20070268)"
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"Success! Matched feature to API result.","40.579001839029 46.646218747695 Goranboy  (feature #151, WOEID: 20070261)"
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"Success! Matched feature to API result.","40.08116849633 46.169368517421 K?lb?c?r Azerbaijan Kalbajar  (feature #152, WOEID: 20070273)"
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"API returned no results for search.","40.759220115024 46.977604112732 Ming?çevir  (feature #153)"
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"Success! Matched feature to API result.","40.759220115024 46.977604112732 Ming?çevir Azerbaijan Mingachevir  (feature #153, WOEID: 20070240)"
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"Success! Matched feature to API result.","41.171266840995 45.204860309407 Qazax  (feature #154, WOEID: 20070267)"
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"Success! Matched feature to API result.","40.850569426424 46.036978402065 S?mkir Azerbaijan Shamkir  (feature #155, WOEID: 20070244)"
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"Success! Matched feature to API result.","40.961015729024 46.431753892247 Samux  (feature #156, WOEID: 20070269)"
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"Success! Matched feature to API result.","40.953504461193 45.77029089133 Tovuz  (feature #157, WOEID: 20070248)"
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"Success! Matched feature to API result.","40.702615616506 46.982495845229 Yevlax  (feature #158, WOEID: 20070252)"
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"Success! Matched feature to API result.","40.246414577555 49.813298152164 Baki  (feature #159, WOEID: 20070218)"
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"Success! Matched feature to API result.","40.335216044129 49.343049051775 Abseron  (feature #160, WOEID: 20070283)"
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"Success! Matched feature to API result.","40.007524039632 47.005718959483 Agdam  (feature #161, WOEID: 20070258)"
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"Success! Matched feature to API result.","40.577050123122 47.408146896181 Agdas  (feature #162, WOEID: 20070213)"
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"Success! Matched feature to API result.","40.524004423756 48.381087102142 Agsu  (feature #163, WOEID: 20070215)"
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"Success! Matched feature to API result.","40.093741147073 48.887506844352 ?li Bayramli Azerbaijan Ali Bayramli  (feature #164, WOEID: 20070216)"
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"Success! Matched feature to API result.","38.496673942229 48.719199138967 Astara  (feature #165, WOEID: 20070217)"
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"No API results matched feature.","40.340484457839 47.232956338894 B?rd? Azerbaijan Barda   (feature #166)"
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"API returned no results for search.","39.845928007278 47.683721862705 Beyl?qan  (feature #167)"
